revenue_target,cost_budget,period,period_start,program_id
72545.88,0,monthly,2034-06-01,CCB-P1
2628988.94,0,monthly,2034-06-01,PD-P1
72545.88,0,monthly,2034-07-01,CCB-P1
2628988.94,0,monthly,2034-07-01,PD-P1
72545.88,0,monthly,2034-08-01,CCB-P1
2628988.94,0,monthly,2034-08-01,PD-P1
72545.88,0,monthly,2034-09-01,CCB-P1
2628988.94,0,monthly,2034-09-01,PD-P1
72545.88,0,monthly,2034-10-01,CCB-P1
2628988.94,0,monthly,2034-10-01,PD-P1
72545.88,0,monthly,2034-11-01,CCB-P1
2628988.94,0,monthly,2034-11-01,PD-P1
72545.88,0,monthly,2034-12-01,CCB-P1
2628988.94,0,monthly,2034-12-01,PD-P1
72545.88,0,monthly,2035-01-01,CCB-P1
2628988.94,0,monthly,2035-01-01,PD-P1
72545.88,0,monthly,2035-02-01,CCB-P1
2628988.94,0,monthly,2035-02-01,PD-P1
72545.88,0,monthly,2035-03-01,CCB-P1
2628988.94,0,monthly,2035-03-01,PD-P1
83333.33,0,monthly,2035-04-01,CCB-P1
4166666.67,0,monthly,2035-04-01,PD-P1
83333.33,0,monthly,2035-05-01,CCB-P1
4166666.67,0,monthly,2035-05-01,PD-P1
83333.33,0,monthly,2035-06-01,CCB-P1
4166666.67,0,monthly,2035-06-01,PD-P1
83333.33,0,monthly,2035-07-01,CCB-P1
4166666.67,0,monthly,2035-07-01,PD-P1
83333.33,0,monthly,2035-08-01,CCB-P1
4166666.67,0,monthly,2035-08-01,PD-P1
83333.33,0,monthly,2035-09-01,CCB-P1
4166666.67,0,monthly,2035-09-01,PD-P1
83333.33,0,monthly,2035-10-01,CCB-P1
4166666.67,0,monthly,2035-10-01,PD-P1
83333.33,0,monthly,2035-11-01,CCB-P1
4166666.67,0,monthly,2035-11-01,PD-P1
83333.33,0,monthly,2035-12-01,CCB-P1
4166666.67,0,monthly,2035-12-01,PD-P1
83333.33,0,monthly,2036-01-01,CCB-P1
4166666.67,0,monthly,2036-01-01,PD-P1
83333.33,0,monthly,2036-02-01,CCB-P1
4166666.67,0,monthly,2036-02-01,PD-P1
83333.33,0,monthly,2036-03-01,CCB-P1
4166666.67,0,monthly,2036-03-01,PD-P1
